date,time,PPFD_toa
2022/10/3,12:21:00,1813.9996156387922
2022/10/3,12:22:00,1812.1543735721082
2022/10/3,12:23:00,1810.2729378422819
2022/10/3,12:24:00,1808.3553442691368
2022/10/3,12:25:00,1806.401629360891
2022/10/3,12:26:00,1804.4118303134594
2022/10/3,12:27:00,1802.3859850097488
2022/10/3,12:28:00,1800.3241320189322
2022/10/3,12:29:00,1798.2263105957195
2022/10/3,12:30:00,1796.092560679606
2022/10/3,12:31:00,1793.9229228941147
2022/10/3,12:32:00,1791.7174385460219
2022/10/3,12:33:00,1789.4761496245692
2022/10/3,12:34:00,1787.1990988006687
2022/10/3,12:35:00,1784.8863294260843
2022/10/3,12:36:00,1782.537885532612
2022/10/3,12:37:00,1780.153811831238
2022/10/3,12:38:00,1777.7341537112889
2022/10/3,12:39:00,1775.2789572395675
2022/10/3,12:40:00,1772.7882691594757
2022/10/3,12:41:00,1770.2621368901237
2022/10/3,12:42:00,1767.7006085254295
2022/10/3,12:43:00,1765.1037328332002
2022/10/3,12:44:00,1762.4715592542059
2022/10/3,12:45:00,1759.804137901237
2022/10/3,12:46:00,1757.1015195581513
2022/10/3,12:47:00,1754.363755678907
2022/10/3,12:48:00,1751.5908983865802
2022/10/3,12:49:00,1748.783000472379
2022/10/3,12:50:00,1745.94011539463
2022/10/3,12:51:00,1743.062297277769
2022/10/3,12:52:00,1740.149600911303
2022/10/3,12:53:00,1737.2020817487737
2022/10/3,12:54:00,1734.2197959066962
2022/10/3,12:55:00,1731.2028001634949
2022/10/3,12:56:00,1728.151151958419
2022/10/3,12:57:00,1725.0649093904522
2022/10/3,12:58:00,1721.9441312172037
2022/10/3,12:59:00,1718.7888768537914
2022/10/3,13:00:00,1715.5992063717108
2022/10/3,13:01:00,1712.3751804976896
2022/10/3,13:02:00,1709.1168606125332
2022/10/3,13:03:00,1705.8243087499552
2022/10/3,13:04:00,1702.4975875953976
2022/10/3,13:05:00,1699.1367604848351
2022/10/3,13:06:00,1695.741891403572
2022/10/3,13:07:00,1692.3130449850212
2022/10/3,13:08:00,1688.850286509477
2022/10/3,13:09:00,1685.3536819028684
2022/10/3,13:10:00,1681.8232977355071
2022/10/3,13:11:00,1678.2592012208188
2022/10/3,13:12:00,1674.6614602140642
